SMILES,TPSA,ALOGP,XLOGP,MannholdLogP,n_acid,n_base,n_acid+n_base,TPSA_CDK,MolLogP,NumHDonors,NumHAcceptors,NumHDonors+NumHAcceptors
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,40.46,2.2036000000000007,3.0920000000000005,2.8899999999999997,0,0,0,40.46,3.423700000000002,2,2,4
COC1=CC(CC2CC[NH+](CC2)C2CCC(CC2)(OC)C2=CC3=C(OCO3)C=C2)=CC=C1,41.36,-1.7128000000000019,3.646000000000001,3.88,0,3,3,41.36,3.7458000000000027,1,4,5
CN1CN(C2=CC=C(Br)C=C2)C2(CC[NH+](CCCC(=O)C3=CC=C(F)C=C3)CC2)C1=O,45.06,-0.7739000000000011,2.159000000000001,3.3299999999999996,0,3,3,45.06,2.904700000000001,1,3,4
CCCN1CN(C2=CC=C(Br)C=C2)C2(CC[NH+](CCCC(=O)C3=CC=C(F)C=C3)CC2)C1=O,45.06,-1.1013000000000013,2.940000000000001,3.5500000000000003,0,3,3,45.06,3.6849000000000034,1,3,4
CC(C)(C)OC(=O)C1=C2C3CCCN3C(=O)C3=C(C=CC=C3Br)N2C=N1,62.21,-0.06470000000000176,3.0360000000000005,2.78,0,0,0,64.43,3.8808000000000034,0,5,5
CC(C)CC1N2C(=O)C(NC(=O)C3C[NH+](C)C4CC5=C(Br)NC6=CC=CC(=C56)C4=C3)(OC2(O)C2CCCN2C1=O)C(C)C,115.65,-1.2493000000000034,2.552,3.7700000000000005,0,3,3,119.41,1.7757000000000036,4,5,9
BrC1=CC=C2C3C[NH2+]CC(C3)CN2C1=O,36.92,-1.6522,0.6140000000000001,2.23,0,2,2,38.61,0.2912999999999999,1,2,3
OC1(CC[NH+](CCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1,41.74,-0.18120000000000203,1.05,3.1100000000000003,0,3,3,41.74,2.7275,2,2,4
FC1=CC=C(C=C1)C(=O)CCC[NH+]1CCC2(CC1)N(CNC2=O)C1=CC=C(Br)C=C1,53.85,-0.8762000000000008,2.0170000000000003,3.2199999999999998,0,3,3,53.85,2.5625000000000018,2,3,5
CC(C)(C)[NH2+]CC(O)COC1=C(C=CC=C1)C#N,69.86000000000001,-0.25620000000000065,1.2620000000000005,2.56,0,2,2,69.86000000000001,0.6598800000000007,2,3,5
CC([NH2+]C(C)(C)C)C(=O)C1=CC(Cl)=CC=C1,33.68,0.7965999999999979,2.4120000000000004,2.5599999999999996,0,2,2,33.68,2.2731000000000003,1,1,2
O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+]1CCN(CC1)C1=NC=CC=N1,69.78,-4.8136,1.346,3.0,0,3,3,70.84,0.6711000000000027,1,5,6
