Smile-1,Smile-2,Average log BB (in vivo values),TPSA,logP(o/w),a_acid+a_base
O=C(CCC1CC[NH+](CC1)Cc1ccccc1)c1cc2NCCCCc2cc1,O=C(CCC1CC[NH+](CC1)CC2=CC=CC=C2)C3=CC4=C(CCCCN4)C=C3,1.14,33.54,5.121,1
Brc1cc(C)c(nc1)CCCCNC=1NC(=O)C(=CN=1)Cc1ccc(nc1)C,CC1=NC=C(CC2=CN=C(NCCCCC3=C(C)C=C(Br)C=N3)NC2=O)C=C1,-1.875,79.27,2.733,0
[N@H+](Cc1c2c(ccc1)cccc2)(C\C=C\C#CC(C)(C)C)C,C[NH+](C\C=C\C#CC(C)(C)C)CC1=CC=CC2=C1C=CC=C2,0.088,4.44,5.892,1
OC(C1CC[NH+](CC1)CCC[C@@H](O)c1ccc(cc1)C(C)(C)C)(c1ccccc1)c1ccccc1,CC(C)(C)C1=CC=C(C=C1)C(O)CCC[NH+]2CCC(CC2)C(O)(C3=CC=CC=C3)C4=CC=CC=C4,0.64,44.9,7.653,1
ClCCN(CCCl)c1ccc(cc1)CCCC(OC(C)(C)C)=O,CC(C)(C)OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,1,29.54,4.698,0
O=C1NC(=O)N(c2ncn(c12)C)C,C[N]1C=NC2=C1C(=O)NC(=O)N2C,-0.292,67.23,-0.801,0
O=C1N(C)C(=O)N(c2nc[nH]c12)C,CN1C(=O)N(C)C2=C([NH]C=N2)C1=O,-0.341,69.3,-0.994,0
S=C1NC(=O)C([C@@H](CCC)C)(CC)C(=O)N1,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-0.205,90.29,1.983,0
S=C(NC1CCCCC1)N1CCC(CC1)c1[nH]cnc1,S=C(NC1CCCCC1)N2CCC(CC2)C3=CN=C[NH]3,-0.16,76.04,1.917,0
S1c2c(N(c3c1cccc3)CC[C@H]1[N@H+](CCCC1)C)cc(SC)cc2,CSC1=CC2=C(SC3=C(C=CC=C3)N2CCC4CCCC[NH+]4C)C=C1,0.285,7.68,5.719,1
O=C1CC=2C[C@H]([C@H]3[C@@H]4CC[C@@](O)(C#C)[C@]4(CC[C@@H]3C=2CC1)C)C,CC1CC2=C(CCC(=O)C2)C3CCC4(C)C(CCC4(O)C#C)C13,0.4,37.3,2.971,0
s1cc(nc1\N=C(\N)/N)CSCCN\C(=N\C#N)\NC,CNC(NCCSCC1=CSC(=N1)N=C(N)N)=NC#N,-0.82,137.5,-0.112,0
O(C[C@@H](O)C[NH2+]C(C)C)c1cc(ccc1)C,CC(C)[NH2+]CC(O)COC1=CC=CC(=C1)C,0.28,46.07,2.036,1
Clc1ccccc1C1=NCc2n(-c3c1cc(Cl)cc3)c(nn2)C,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C4=CC(=CC=C4[N]12)Cl,0.62,43.07,4.59,0
S1c2c(N(c3c1cccc3)CCC[NH+]1CC[NH+](CC1)CCO)cc(cc2)C(F)(F)F,OCC[NH+]1CC[NH+](CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1,1.52,32.35,3.798,2
S1c2c(N(c3c1cccc3)CCC[NH+]1CC[NH+](CC1)C)cc(cc2)C(F)(F)F,C[NH+]1CC[NH+](CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1,1.41,12.12,4.492,2
S1c2c(N(c3c1cccc3)CCC[NH+](C)C)cc(cc2)C(F)(F)F,C[NH+](C)CCCN1C2=C(SC3=C1C=C(C=C3)C(F)(F)F)C=CC=C2,1.44,7.68,4.967,1
[NH+](CC\C=C/1\c2c(CCc3c\1cccc3)cccc2)(C)C,C[NH+](C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C13,0.887,4.44,4.557,1
Clc1cc(Cl)ccc1NC1=[NH+]CCN1,ClC1=CC(=C(NC2=[NH+]CCN2)C=C1)Cl,0.16,38.03,2.983,3
Clc1ccc(Cl)cc1NC1=[NH+]CCN1,ClC1=CC(=C(Cl)C=C1)NC2=[NH+]CCN2,0.38,38.03,2.983,3
Clc1cc(C)c(NC2=[NH+]CCN2)cc1,CC1=C(NC2=[NH+]CCN2)C=CC(=C1)Cl,-0.87,38.03,2.689,3
Clc1cc(ccc1NC1=[NH+]CCN1)C,CC1=CC(=C(NC2=[NH+]CCN2)C=C1)Cl,-0.65,38.03,2.689,3
[NH+]=1CCNC=1Nc1ccc(cc1C)C,CC1=CC(=C(NC2=[NH+]CCN2)C=C1)C,-1.3,38.03,2.395,3
[NH+]=1CCNC=1Nc1ccccc1,C1C[NH+]=C(N1)NC2=CC=CC=C2,-1.89,38.03,1.764,3
[NH+]=1CCNC=1Nc1ccccc1C,CC1=C(NC2=[NH+]CCN2)C=CC=C1,-1.39,38.03,2.06,3
Clc1cc(Cl)cc(Cl)c1NC1=[NH+]CCN1,ClC1=CC(=C(NC2=[NH+]CCN2)C(=C1)Cl)Cl,0.47,38.03,3.61,3
Brc1cc(Br)cc(Br)c1NC1=[NH+]CCN1,BrC1=CC(=C(NC2=[NH+]CCN2)C(=C1)Br)Br,0.58,38.03,4.228,3
Brc1cccc(Br)c1NC1=[NH+]CCN1,BrC1=C(NC2=[NH+]CCN2)C(=CC=C1)Br,0.33,38.03,3.356,3
Brc1cc(Cl)c(NC2=[NH+]CCN2)c(Cl)c1,ClC1=C(NC2=[NH+]CCN2)C(=CC(=C1)Br)Cl,0.41,38.03,3.816,3
Brc1cc(C)c(NC2=[NH+]CCN2)c(c1)C,CC1=C(NC2=[NH+]CCN2)C(=CC(=C1)Br)C,-0.28,38.03,3.228,3
Fc1cccc(F)c1NC1=[NH+]CCN1,FC1=C(NC2=[NH+]CCN2)C(=CC=C1)F,-0.2,38.03,2.066,3
O=C(N)N,NC(N)=O,-0.142,69.11,-1.525,0
O(C)c1cc(ccc1OC)CC[N@H+](CCC[C@](C(C)C)(C#N)c1cc(OC)c(OC)cc1)C,COC1=C(OC)C=C(CC[NH+](C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(=C2)OC)C=C1,-0.47,65.15,5.351,1
O(C)c1cc2N([C@@H]3[C@@]4([C@H]5[N@H+](CC=C[C@@]5(CC)[C@@H](OC(=O)C)[C@]3(O)C(OC)=O)CC4)c2cc1[C@@]1(c2[nH]c3c(c2CC[N@H+]2C[C@@](O)(C[C@@H](C1)C2)CC)cccc3)C(OC)=O)C,CCC1(O)CC2C[NH+](CCC3=C([NH]C4=C3C=CC=C4)C(C2)(C(=O)OC)C5=CC6=C(C=C5OC)N(C)C7C(O)(C(OC(C)=O)C8(CC)C=CC[NH+]9CCC67C89)C(=O)OC)C1,-0.065,156.5,5.17,2
O(C)c1cc2N([C@@H]3[C@@]4([C@H]5[N@H+](CC=C[C@@]5(CC)[C@@H](OC(=O)C)[C@]3(O)C(OC)=O)CC4)c2cc1[C@@]1(c2[nH]c3c(c2CC[N@H+]2C[C@@](O)(C[C@H](C1)C2)CC)cccc3)C(OC)=O)C=O,CCC1(O)CC2C[NH+](CCC3=C([NH]C4=C3C=CC=C4)C(C2)(C(=O)OC)C5=CC6=C(C=C5OC)N(C=O)C7C(O)(C(OC(C)=O)C8(CC)C=CC[NH+]9CCC67C89)C(=O)OC)C1,-1.03,173.57,4.72,2
O,O,-0.04,0,-0.062,0
[nH+]1ccc(cc1N(C)C)-c1nc([nH]n1)N,CN(C)C1=[NH+]C=CC(=C1)C2=N[NH]C(=N2)N,-1.17,84.97,0.7,2
Brc1cccnc1CSCCN\C(=N/C#N)\NCC,CCNC(NCCSCC1=C(Br)C=CC=N1)=NC#N,-2.15,73.1,1.799,0
[NH2+](CCc1ncccc1)C,C[NH2+]CCC1=CC=CC=N1,-0.348,29.5,0.504,1
s1ccnc1CC[NH3+],[NH3+]CCC1=NC=CS1,-0.42,40.53,-0.102,1
O1[C@@H](CC[C@@H]1N1C=CC(=NC1=O)N)CO,NC1=NC(=O)N(C=C1)C2CCC(CO)O2,-1.175,88.15,-0.499,0
O1[C@H](CO)[C@@H](N=[N+]=[N-])C[C@@H]1N1C=C(C)C(=O)NC1=O,CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O,-0.72,103.59,-2.075,0
s1c2c(nc1NCCCOc1cc(ccc1)C[NH+]1CCCCC1)cccc2,C1CC[NH+](CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=C(S3)C=CC=C4,0.14,38.59,5.254,1
O=C(N(C)C)Cc1n2C=C(C=Cc2nc1-c1ccc(cc1)C)C,CN(C)C(=O)CC1=C(N=C2C=CC(=C[N]12)C)C3=CC=C(C)C=C3,-0.48,38.13,2.56,0
