Smile-1,Smile-2,Average log BB (in vivo values),TPSA,logP(o/w),a_acid+a_base
Clc1ccc(cc1)[C@H]([NH+]1CC[NH+](CC1)CCOCC(=O)[O-])c1ccccc1,[O-]C(=O)COCC[NH+]1CC[NH+](CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3,-2.15,58.24,3.525,4
ClCCN(CCCl)c1ccc(cc1)CCCC(=O)[O-],[O-]C(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl,-1.7,43.37,3.345,2
Clc1cc2N(c3c(Sc2cc1)cccc3)CCC[NH+](C)C,C[NH+](C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,0.95,7.68,4.624,1
S(Cc1nc[nH]c1C)CCN\C(=N\C#N)\NC,CNC(NCCSCC1=C(C)[NH]C=N1)=NC#N,-1.42,88.89,-0.113,0
Clc1cc2N(C(=O)CC(=O)N(c2cc1)C)c1ccccc1,CN1C(=O)CC(=O)N(C2=CC=CC=C2)C3=C1C=CC(=C3)Cl,0.35,40.62,2.647,0
Clc1cccc(Cl)c1NC1=[NH+]CCN1,ClC1=C(NC2=[NH+]CCN2)C(=CC=C1)Cl,0.15,38.03,2.944,3
O(C(=O)c1ccccc1)[C@H]1C[C@H]2[N@H+]([C@H](CC2)[C@H]1C(OC)=O)C,COC(=O)C1C(CC2CCC1[NH+]2C)OC(=O)C3=CC=CC=C3,0.6,57.04,2.423,1
O=C1N(N=C(C=C1)c1c2n(nc1-c1ccccc1)C=CC=C2)CC(O)(C)C,CC(C)(O)CN1N=C(C=CC1=O)C2=C3C=CC=C[N]3N=C2C4=CC=CC=C4,-0.23,70.72,2.912,0
O=C1N(N=C(C=C1)c1c2n(nc1-c1ccccc1)C=CC=C2)CC(=O)N(C)C,CN(C)C(=O)CN1N=C(C=CC1=O)C2=C3C=CC=C[N]3N=C2C4=CC=CC=C4,-1,70.8,2.061,0
O=C1N(N=C(C=C1)c1c2n(nc1-c1ccccc1)C=CC=C2)CC[NH+]1CCCCC1,O=C1C=CC(=NN1CC[NH+]2CCCCC2)C3=C4C=CC=C[N]4N=C3C5=CC=CC=C5,0.38,54.93,3.588,1
O=C1N(N=C(C=C1)c1c2n(nc1-c1ccccc1)C=CC=C2)C1CC[NH+](CC1)C,C[NH+]1CCC(CC1)N2N=C(C=CC2=O)C3=C4C=CC=C[N]4N=C3C5=CC=CC=C5,0.06,54.93,3.267,1
O=C1N(N=C(C=C1)c1c2n(nc1-c1ccccc1)C=CC=C2)CC(=O)C,CC(=O)CN1N=C(C=CC1=O)C2=C3C=CC=C[N]3N=C2C4=CC=CC=C4,-0.31,67.56,2.418,0
FC1(F)C[C@@H](CC1)[C@](O)(C(=O)NC1CC[NH+](CC1)Cc1[nH+]c(N)ccc1)c1ccccc1,NC1=[NH+]C(=CC=C1)C[NH+]2CCC(CC2)NC(=O)C(O)(C3CCC(F)(F)C3)C4=CC=CC=C4,-0.89,93.93,4.252,3
O=C1N(C)[C@@H](CC1)c1cccnc1,CN1C(CCC1=O)C2=CC=CN=C2,-0.252,33.2,0.468,0
O=C1N(C)[C@H](CC(C)C)C(=O)N(C)[C@H]([C@H](O)[C@@H](\C=C\C)C)C(=O)N[C@H](CC)C(=O)N(CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@H](CC(C)C)C(=O)N(C)[C@@H]1CC(C)C)C,CCC1NC(=O)C(C(O)C(C)\C=C\C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,-0.781,278.8,5.304,0
O=C1N2C(C3CC(C2)CNC3)=CC=C1,O=C1C=CC=C2C3CNCC(C3)CN12,-1.09,32.34,0.246,0
O1C=C(C(=O)c2c1cc(O)cc2)c1ccc(O)cc1,OC1=CC=C(C=C1)C2=COC3=CC(=CC=C3C2=O)O,-0.15,66.76,2.188,0
